,Date,Value
929,2018-07-18,7398.66166667
930,2018-07-19,7396.40166667
931,2018-07-20,7428.045
932,2018-07-21,7352.49538462
933,2018-07-22,7451.28916667
934,2018-07-23,7689.88416667
935,2018-07-24,8112.93
936,2018-07-25,8251.165
937,2018-07-26,8187.32416667
938,2018-07-27,8025.2575
939,2018-07-28,8182.25166667
940,2018-07-29,8206.34166667
941,2018-07-30,8143.14833333
942,2018-07-31,7916.80083333
943,2018-08-01,7570.86916667
944,2018-08-02,7593.14916667
945,2018-08-03,7394.49916667
946,2018-08-04,7247.76916667
947,2018-08-05,6998.71833333
948,2018-08-06,6988.07916667
949,2018-08-07,6993.51333333
950,2018-08-08,6450.36692308
951,2018-08-09,6396.7725
952,2018-08-10,6396.49466667
953,2018-08-11,6195.65333333
954,2018-08-12,6311.13166667
955,2018-08-13,6347.07
956,2018-08-14,6050.9425
957,2018-08-15,6362.67692308
958,2018-08-16,6342.62923077
